序号,姓名,性别,身份证号,用户名,密码,签名
1648,蔡瑞浩宇,男,440111198405273596,G2Klhnvx,t3_{yfe^j6WVt,hPOe3kdRhpSSwOK5m6suXMEPriziBKPGxrNkdCJqSNsev5nsyEiNRdtxbcDPL7m+fiDf5keyyKi7Tstfy61nhTUhf1hvSlk/APH0ekyqXDkD87JiY8X7uHcDJFJ9wOqRg3et7pv40Y2ew5bvWykNRoE8fcrws0g3KdoxV5A21a8BaGjopYb4MhXvMVXxV2SbmwPhnDVGPZIU77sG9WzUCCvx5LiPo/AIjMqHEhspi/pVGVVImC5haDcXTGBCouU+UdhLtS6M61jMq3s2BNyU6xd63QoPJtn0xewc7MyRk/7yvX0CQ5KnheZvfl/DmRljhHxJYvNg6YxIcFOzQtVxrA==
1649,钱博文正阳,男,440111197807170077,LOx3NegnRGGV,#%j3KU/.l:,ekLq8mQVNxPUdx5ytSh08F8JL2quiH8kt6jN+Pc4QLmfLAyGXBCpRGBaLNze970cdXKLueaI30JXuqV/MAI+gq9ockHvcGXIexzGk2B0GK+kOB5OUaoY8bFm7gOITa3lOlK2iSenrzPPIWKh2NwJKEuwEearKMa638mqkXd76us7JmY1RHagm9vPCzqzsRoBseNjRcoDQylpU1WwT/COiUQ8QBHByOIt4IQmi2zLCpTagngBx8Xcy+APbgrBciwQw+HUpj8eqVAWDvjqbTWfAEmT3/z3dD/53omCiyhCjmQ3qsLCl+Z9kCuB00IenyvlphdudQoj3pBy78tZzUFwPg==
1650,颜曼妮,女,440111196907194303,fTf0dWPb5,4rQ-R7T[alyZ<O,AM2XbQ5w4F7AYJcjXA0pZJbelOM49kyOdLkGn3KKZhWJYxv9e5VgREC/fcz+iqPEqs+KveppBXYWG0MZ3DY6J/LlJNvR9gfR4b5bPaKWoV+lTG6vEXgKUSlM7ulFnxz9dAgXJV1yq0doxANF4G9znN5eUFKer8KjDhOTl+Ii14AHJNwGlUeILTh87T41NyCxzlOM81f6HSGF1WaL53PVo4kWZN8E6tKs0UcHLtimW47HCgjenGsHDC6KsM48CtlXGxsYsHaJOtHaPBZLSZt5KuysxjDFo8DFTcXLg52dW2zcUy7z7t/Or8xXXLlwZivCXRRH4/CVa824vhUdIDmwAA==
1651,袁佳慧,女,440111198410206064,xVoUO8gUKv,^ewKXd?},BXuzwAXyGvqKFwqFFzsJXri3eLelS92hyzHLNg5oK4bnRj2WJ1RXIYNVAVii22lw2a/VUvWz6LJ63bdJYmr4GuafkJicE8J04ieyTvlIt8bMZ4tOG115fUTKkP5N3NRfc5SxS9lJCBFu9mVxRjpOSCUNcgybfWPdSH58/5tg9AgnVDiiIaFS9UsDQWhsT6kemEwGHvoG9ZeB8s/0rtgrDVJOXD4mWAyos5vfaSDYVP94RHg89qPN+oEoIHnhpkKOU5qW41luJNP4j6MHEbZaashhefmW4WXpI4rSLTyCEjp0xmb1jtAXMud7H8V3QPhtDdzljKkEStojTUHQRMJmog==
1652,葛舒雅红,女,440111199407046922,h01MZ8RH,}\X9/NVg8,eIOzDohBkD4nALNXdMx2Ch1Vp4qEKRJ+PrZL3OJsOCVWj4fe0T2bDV01+vvbft84gxWpCPGVEYx43ktVq2lY+tbGS82b2onLnpgf92iQJmlE4xKvGFgDlVRb8xSSbHD9rDGXsKCMlrYSljLXB9qpUq7Zf6klvKK93zfeIN1lbAe3bQdYjAGUI2+NrDaZxvaVCuSuwlnyt6ySbVL5r+iRkf7BrPVU/C+A7Ja33hgsOrfYx6tZMz2RTC5dYG8ndNy4tsZLjvirAJaR611avpzcMpSWvONJy7I06/RBzesIr0DY07CTnoUgUhQoHFYdFV9ffcwggAXfE5/VGL5Ga50Ieg==
1653,闫雅雯丽,女,440111199208160941,RDWgrl,`zH<%17\sXQHxJ,lharcgIceTADAlP824E+XmHwdS7zCOT+t4JMglFPWUImfDxocCAD12iJ8MUFlRQvlY6o3Pv18CptzBjpmYCGROQTolzH+e456tY8w+zZZsNReKnRQwJhfxXYgY3s2pzp6/OzvtaGt7IEc5pHIl8+T+KGtQaApzBMovPjsxf5K72VZLeBg0FmzjqDaannUaV3gchwn86UCOmzvZ0FE3cGm/AyTlhEUHqHH/XqBXx4iZV8GNcbWX4xcWmyJvYWKgagU4FmlwAX2EmvSathmTH+Iu69QyHKbmT1hikUIF3/7RzNg9qoMeFLsgQd0BKWP93ITDmpNH2mvWtl1Zz6QaMiKg==
1654,管晓彤,女,440111198101023125,b9zYcLDYb,R}dJUO*D,fRNbY1atYHnhBrcNELh9rOUPatqUrDStNYEkSBW8cqvY5ybM/8KqY0Pfqkmj4w+u7UCY87s9phYLCFelfmsdKwmXWrtE4EkyQL8t7U05dlDw+FK5NozgwzT/is2a8J0YDU9LgkMXpLSioBHya6AxLsc2XxAnMJu1bvyAqud3D6zURd4gBpRGTMmN4u2Xam6KIEDzjHGdSWHcItZXqfSd+xYe0UrOuSGie6ZRYmxDnQHmUILvHx/AHerUZUKik0w2agwQ7/P2QnH8T8VwOtuyUN7w2mmUVbBjcRBc1Bh65C8CJAeDiwBQ3TkhuwB7UaMOrCLfB2DzHo2cObEcoTfKfA==
1655,蒋建国英杰,男,440111199502177939,ESo9TYjMpoFd,=~kW@ylr!p,PYW/0KNqntUb8/fFL/TqrcEIgWhfvTv4KDTW8Rnfx4hyKEXD2a6/YXvz/hEBCVJ9ZyeGINSnX2AZ8hd86ustaWC/hpUyrDTrKgX4zIJQG9sKx8hRuE/HYnkQgUIWKpuXqizoipCnnVplSXnULLFIEvjXqoC4G6yGeGCwzi+UkrbkSV8hkU0AHKZJvw651pX83Y1iXkucxApw10zncwMW04PJjOV6CE2SaZ6HhIno642HYuwLiNtuUCUlC8OFL+z4CX3V2CEcTXAF83vLOWqfAj6gOs1VBZui95199hj6IH17FL/Jv3/D40TJdebufPjDIKhBiFzZHXTaX4AeOfUeJQ==
1656,翟君,女,44011119800710034X,fP4Zr0Cj8w,1fU|fg\.L,nc6PB2/5COU8gXtSdit38Za5ZYEZfE0FdXU2D13xpr6jL6iznohlLAhuN5JovehHgWpHr7umdhjQGh/15cZ68OPCCHF3HNF+z4xBoO0gD08ZI5iongqoEBGGTmox5w18jsh179J8JpHyU+wKLdrnOay7jUQlXd+TExWO6RPiZBI8hlKcBq0TisL1McwKCWad8dC/wBJEMjxHmvLbOfgVBd2UTcq4fLXf3OSJ4s6H6viS4GRKKyGxXbEWWFWrlq98y6nfJ6X6dnTbd9H8eC01tG7VSO3kCFUmM4sVCg0GI4snPq2Gk0J5SYMg9DXH5Rt3KI3Y4m2SAVZWTsvjf1ZRkg==
1657,谭雁,女,440111199505098048,bDWZKtZ,E&\UwZ2:_t}^Q,GuAL3RNIwesegHztz6cwK26cdu0roJFsUFFfAbreyj0mxNU5vTKwJ6Wl9xNhhn5NgGHVhPoteiOGRYFE7GSUy7zcJeTIGCZEjRF+LPBMuHEI5VnLtYG37VzkuUY9e37OZX7M14uK7bpzd8XRK5rSOJXxv2w8uTvZPCHDwBYEAGk5uQt2GM1wukhlG3cvKH426kGdv0wQUUlNR1b8BHdJfc5rI6P+sfBLXR3/UC01loCo7k0iausvpXR1OtnDODSMtahHKvK4GwDctAuTchUl3kNJBQ46isKd+6H9Mj6tFhZwQENUOxcnb+8BxaRynT72OgBCdAXHll+jb+uUh4cK5w==
1658,甘美玲,女,440111198305302628,Ixy87evdz,8DA0|bh&>R-PEWU,XBUslr/9OWX+ldbFf3MjyMTUPMAtnUZOKbqFBRalTRaBt5uVxG8+Sm19LQsHXRAp8ND81HggNwUXBjURpn3F5ZjWkF4oL74St2dtZJ/fcAV7fxELW97QyJgVvfTQ4K8p4mc3eCSdYWV7iEjih0jjiiN/0F8bFLUOEODKPLdQv5NGpgYKkSHYH12TahYrScA/hsB7tu21fAcr1Eo32picA/4JwGd2PS+QPps8ipwft7xJtSd9jvw/8s6paeW8NDNLxk2qsHaFr7xPwbkjajMHjHCMpKZFB2Wrq2R+qZtOZUVf9+5/6tCKyMt7dLeZ/93XhPwqUyME82zLA1R+XVyG4g==
1659,谭语桐,女,440111199612188727,u7qtEWqR9vM,lARCdC#jSqMbZi%9,H1EtTN9GLMAxqY5S6ETgJm/37Y7wqtdG+8uVVuhwYtytB0/3/YnT8i+S03gtkW9VO0dF00orPWntXD02AVg8gAqH1pgxrUXbxJFIr33m51b7fmZwXTjJs4PlZGbN9SCsljPs9sTg1LWnanB2GtqhiQuPwhc91x+qh+ChQUDhxuy2+BGQF3hOVa4GrbN6PNObUEsnYNw5wNTegUWLPA5Z82bvxZYhwfzQMFiQ51SXNCsG9OfvrMCSsDVIhapIPpAeG+H6gijF5+eg6ne8rWvBFjVG9A5tyF3pD5dlPTmAawENMG0bAXazpEBoswolvC6psLwP+S+v5h0S4eVewt/60Q==
1660,孙平,男,440111198002101052,OV164txLP,w`=hlnogfh|=9(,oKhmSTvnIpyRZxqi1ucVxjbJ5gtd20FDOw9IfRfrX6RA0NaH0prC4MpsZCIeD6puW1DjHkO2CcSCd46r3MHXTw//hMRG5vKCBPyo7AgbtBi74KQr0Y9SGKoxeeltn2Df50dNEiHtj2rBEPxCn52qxzsUYUSJUpd9grsAgMnVn24r6zDQbCpSC+mQg8KbvCWJmYJRYfbejV5Fntq+91380ZBrTHcEOmLOz0DGILvhJWwFuhXusyOwxNbD8llDnSd+Nrz2I/XDWxOK3wVR/2tKuyAcQMBNkI4diLL9NuwT28LDENNXx6G7HKm3uveRTw8VnFENpiF9nyVNx/kreyUvBA==
1661,柯佩兰,女,440111199903276428,gHQg04yJ,vDrMEZXBHWsR7:A7,4B3EdUy21Y3qPthAPVQoaaBPshDQA8BSCasZTi/w+0849GUSwS4pkzNJWaq1N2sQGBWTFPNXRJ4AIT0BUiWGQQ4GNcjis4U30R+Nz/UBaNrYqX+ny0rdJ5/iPcUuKnrFSaO9OatC3TKzVtzAyBt2Uc3My/TWHk2ib2PuyxbZo1UYnXAy4ZdK6LOSds8vCVOj6LecoI+oZlOruiSThI/P6DejB4USloCFLGcRSp8U72cfV9Juv3Qvn6WlfXthU1kU2Io/ocbHOABJbMBLij8+ExucCwRazGs/erLWdoCQW776HGOEsq/ai2gnnnH7VtqKSP2TJbwPpbgItP10sOqy7Q==
1662,董帆达,男,44011119990912357X,sBPqL27FqkU0,2liw`dhWb}<h38,g7iytSX+hA9ZoN3wtUK/cTQ/pg+HUtdjLFMhtIZq72v6IzANCNAA+xxKT9wuSo0eGLOG1JoEqN6PxMlfEw712yW8/wImBd+MHPmUBDmAXremN1nvn5p/UIox0SEEOxbwI8ffzi3crNtEc+SrDY/2BzvO8GPWb5hIY4I2cnwvopQsDawGFXudS7ql49now7w+OTCbxqQ1Y5ucKevZcHOXgkAvGo5b1qjhug3ZT+xvyc3FFm1MaAmJVC7URHS9PrV2yrtGLvXuHoUaAUcUafRaKeV8x7a4uzfAvEKB6Ee0+HcGviIwiXiRAl5neEKVQCAtPlOyVN9nZ21Gz3CQVQDW7Q==
1663,薛敏学,男,440111198505083298,NNxADsFbRQI,oBq>94ka]8rI>:.3,10GKzzt4qtRMLW0RnFt4IgerZMyRmxwFmxX6u8jqx+cKVpHJigb1tRJ+DmIR87iaBVc+3gpaoANMxDkPOn4E+Vvqyf4uX9rk3HMlF3krGrEnaDkz12gVOXi0scbw/xfGQ6nMU8NlMX/vvjSVF6kq8n+QBFKjL4vW4a4H964GrJrRGPGeEyDto48EedzWWbIqy/23EA0d0jT7u5OxJBP32qrdNFVl45EH/UVphv6ANT2FFhtcAZXnY2jqkBXOKkjdxDyuMHWHE+MSUQVtq9hT2Zpc4mHWgYdnHzozuIyol+KV2AiX7FXIC0Pnm4K/cpkGEICRMtkwJYSy2EJzIkAKYg==
1664,伍瑾萱丹,女,440111197203282828,3UboQdp3BSTnL,}M/#4GuwOE,RtEbLRm7lgmxn9r8AyOBDJK5IyY8fBtmfRx4r30H2S0nS1qDhmRkZiM4jO/zgZZE+d6jkeDQ2aL2hKeUbE117JLcZ5+PvpACK8iWJG32GFyh5hZIFJgd5C9mgZFR8zRPC5bumQYyg4HbrZ9ibA3Ggm4G7ILolXKB6yIQujzHX/41y6utVYwS9H3CcGkl5yof6bnYrnDi3kzcGcqmHp4Szea7gWFqBTW5PC7Xb7eSAlH4xdgowWmrhh1CCfcRbp58TXdc8S8sDQq6+zchlCRBkEZn0oM8KC0+a3Rgs5a4wugaSFodLf8KiyoD0CS+0je5OCyLOfq1gsSItD1KmkKcKw==
1665,龙妍晓燕,女,440111198706023988,ieo4NOYKdsQ2,IC-HpvL&h@,SVGPO82qNvwycsuC/gkHnD4tsjit1EK26AzReVNqCcmcCPq9A6kkvjCnD2PpUhzKYvgzKgLzzp5/0HED67t6lzRCVBHMBLO5dss8JIsMJI40oKhTxblDFMWaRZKiupINJyhevA0Co1iodP7POZYNu46zLr+5goUEFLMmoc3UqgwQZTNysczugXVVfcNLkr09KSaB+h0fJnHMVb8UVXkeOCZsk9MZXBQod4Z9dzMsQAS/3PMzFhjWQA40tkiEJSYfRR86sWGsOiDS48Afq/Xw2AnE9SwII136kbcl8+d47jOBkv8GDaDQoWZ2quOlB8LgZ6J/QFfQ19afbynpE4BDqQ==
1666,许永强,男,440111197709124931,MAyiAU5I,#A1^u]zrBJ;g\4,AKG5PHi643HZCAYzS3sCFwHMaFBkS7o7ZNrDuZuuZonfBHJ3GrH5Iu32Vd0gDiqecelqLm+ZxQu7EQxG5ZiowT25ZNL5QhiedKZr30jRiorcjEw/fGV0ndqgReCbk3rpBrYM/b/D0LQspzlvyjH9StHylDx0yezAR6oVCR1uMZ94IEks9P0GZgLWMWDMyk9j4YKmOrxZml3S8lz+YD2tsBPaB/dge6RR6/cdbAJ8vjZoPdOs6AOSZIdkhzhXAEhvA++IEJ9KCm7I4L0nMgz6DZ0f0yg3dVKPoxXoJtJ6t4HlIXhN17bjiswi31UIvx++qvHBrrAn3OcaCwKYkFnzDw==
1667,康超博文,男,440111197608227157,mFUSJXqy,WE[C.@0|e,EHSnZhS3+S3xOXbodL4nuOqu2IfbXWpieEDS5/FwYsV65fE8mo8wAHvGoDoDKF7kYCYfrIcrZ/wXmI6CsXgCg2cah/vx92GnGdVKGUccb/eIClY+HzevxyyzS99NlF4Oy7Zk3Pqrj+BwIrT5lb+FaR7Av6UQK4Y7+ap9B+JVcjHDXK7EEPjJuwBHy7kRRC3x2CTmwO+sSqSXCG963iGA9I8t53/zGP62s5HBJ6QLOYLT4rLzyEEgIx6EJpiDvmJ6XWn2B0//3mpRdyCZpWP9BJx9Db2KkOhMeVg/J+Y19jcqr8rh5kCUEG2XLIOvBh+gau5VXr4aJ6cgm57y+Nq1nw==
1668,樊亮泰和,男,440111196512059772,qqKoox,IW:wly/!p8ctv6,YfVpoG+1OLhuBC5AA+KqZJYo4BkiS056+AUZuJ1BVF28jpV9xDq49sAODCixazH31DROjrTe9C22ZAwvghZwcokTtR/bcx+iVufp7nSvy8M1nthR483juiNhvQfZCx7ABThQuSWf2pV3YJGGIs5aMMot+ujXRtN22cfHa/WPo2AsJqW6xhg/MS1unOVAUV2nLNKnj1Hrs4ClSgKEB5zaJoEG6QSZQOzDANBHnxkPzdMpFZrbZxl4cj/gLXUUofuanhcuHfUD9tZPlcElZV6jFn1vfOJlaGo5/QDsaRXkDIG7X0bMRqCu/Tn5gV9sZ2STa2YZtDxktc8QR+PMPg0JSQ==
1669,田小红,女,44011120030622916X,NZuVUOMSEODU,}Ne#`SZ2,Nkbt8tJTeVIbsLOUlcWdxspvhCiZ5rLpLYif5TPXkjs0VxKRSrE/JoS4NtmwN20Aj2GBJJSS9dBr3FEWSBZ/OPIrDwmcx919TcZV01d96Rrn0JjJyvO1Ai+GP/o4vnD/HOSjMLTaCt9xwECiCRWg+mYbTNWp/yeKRQR0axNPQZ24QFTLY0VUkGHv2Vxj9r6hME5GIFVi8SsjpacP2vmetM/jLJiQsnbyIxeHoARaHDI1BbnfsBH1AdljNI2teTtvurXSSOkvOfBP1gVTMwoaQtVPUhl66fvzVS/ZAqL92WUlq/ggvN2yMBsN6Achq0AzQpVDosD2RScpU0leqX4+DA==
1670,韩兰,女,440111199309134240,QUr3VGokLB,.@%yC2/[F,Aw/qfp8/zVmQfqwQ88mPn6DTIkMm/gY+UCiP7Rj7ym5UqrtHFGNyYve1Ze4e56lO+18XWOUAU++Pmeyj/FhCv0mrDGpz9qa7ht4uIeJ7h9UHIg+7/0c/+WiqSv5aA+4Iy4UTfSvCMHq8b5av8iGBLrP3+E+nUO7Ss/whgQ2y+RIqTJ5lTgIsYoGXQAGJbvPRAzFHbXMItebPBeYiTOva7/4RqaH8UvNqh3kSLKkX4hP5qgEhrPpPAwYsU1Qu0nu/WK5vbxOq146ncplhDAq7aNKJIv8JxdujiBRZTmIL1T0BqRKDLV4b+cKN9VzlBwZkSxe6G9OQ5yqwB7tcKBDumw==
1671,付瑞芬,女,440111200005213842,0tC19FiaYw,XBVneW)R&Jce7H),kTXrShT91VV3buzvOXqSCo2ODXJyWgLGNTGRihpZXMPMl3qtxKCbr73XPP59Bk2Uh8EBB7i4ucDycF0UKUea5N1mNJwHdzqT+aDCBSidkMFTQ9nEAa0malDT6TQe2ujtDfEVbkzyDS/aVR+hNO+AcNIBD7o9atLz7ywBmyKAqvfKeTXm8Zs1OxYjgDJd/kGt+7Cw2MxeXwE3YWFYEgLHrL0+XiAg2uGu6hTCH3G+oP8vgSRjsbiPRhUW5AsBsawTXFMrqVBsW8u+eijmDN6/cDktjQYrbbbpPhuW7Cc/VLg1AP+3IQsK+uNdzGMgOiQx86HmDHYJH3x8ROFZPNRDHw==
1672,房蓉,女,440111198605221408,O6egG8vom,]q{45UA2}VG,RRA7lNeekN3xpI68gVqrsmeJgqjJJE5DM+OfqroQNmntIxsihsufpGUfGXhakoJigRK8CgQpeFKathk2wizugzUFsQOePp6MF6MbU+6PQAEPwOMP8jsQAd/q1Pgo+3nfAHRyRqjKUt3/ZmHIj9LFzzDnKDKooXzMe4cHZK/vGOqJyrqLd9VivIB7eOv8V/MC7TOoJTutSzDvvlSVyIZXwq8nge5evLcUglPRP0bJaoCaK8FpG4hNDtJMIkj0onNHX8ypfBbOn4f/tsH0A3UiFhjN4Wtf7703McI630qjZADjhBd7dQAekhPctBrNOQiceG3vQxiOA6oPro+CtvYMMg==
1673,钟融,女,440111200505066543,ZcU0qvhE,OG-f!%@Uvl{F,T2HTRo3tsfsWgTE1HqcOM/3zdvHrCq6WcgGYBAxv0twQlnX/Pl9kusaeoRmYjDbrmyRgxgzLo4oFIy+ybmVglAoUYEcZb+CdM69y3dEqI9Ac3ZCDxz+E/m7atXRarzouG5dMC2v1cQy68moSSVsfe77hk9kQajjMahtbjr37cMnbfCBgxi8euJaBroExtk4OnngGBKhB7ItQwlSfjUNQvyrEbu19jdSb5gczqy12eY4akirlkPd5hflQIJp+uLvHsrERrc70wgreH0zQrs6QqYuG5jVtXA5L9nmqieu9+flBt3O8OIUydQWJV6xok1lpM1Z4jDtlVaxgav5rmUCkjA==
1674,殷文博,男,440111199201066178,q9CDTo,rnCjuwkJK,LqOv95gPeR/ADnGf29EBOeTSFz9Y2afPcj5Jf5D5wjKRNlmtmGKM4EelzgeVtWLw72Qx04JDpo5m7hf2dWg7tITQW3ephk1Tw9l/5TSPTlKOGTGuXB7A/GlBZCrRUTLcxg9iWonCKl4PwIOc0Lx+ai6Ga00NrcLlqhAby0/NCMcnoL/rwjerOvM1kEeJSOGuAcZ9GITWf6Wy277XQOuLQEbXHaY9g1XzkHBoxC/Axd6GsKgffW73yaTt0z2QmYtSPKwihFpOC1h2MTPS/ZkTdxKLECCovMZifcrkpQ68SvquoSv6/1qhqILR2latIr1x4dY1ZQBq74cvIYs+IZDs7A==
1675,齐艳爽,女,440111197907115286,NJj9J5h,PdPFLN{uy2+,mO30X1XjGM0/9f3kdXepiSGqMxTfaTXLjQT4vOi8prD/1iNUH0GsH2jd6FdtlfsmD9sRapiUwu6ckVMv9AcxpVw7droam6hEXeh8wZGqPy1RXGRZ7IVivU9MmJ/DGwGWOJi6fC1pbh6cKiOIEaqTvC8+SQj23m4rzN5K/RGyKZbVghBtixLTR/zKCsb4UJEJrfu/X5wWw8wQ4aarpc41V043OnllM/VeaD9WnmdYuOkvWMDIlbftJ13n+rljKLF6uG1OFW/OWKPh6Jpa4M1qYFj5WppROi1DyMO1PTZUoBpbXpsooINCLaVeAFM2iR7Ul7LFeoR+O8CdKOtdouMUMA==
1676,白瑗涵,女,440111197712250525,UueiTK,W){L!JdH[gO;S>O,nl6O4TLl7sjDPPwtvOqbyvUeW3NdzYWyLA/ItwIBw0PkzAxzlKX4uPxclfQDrZ1Yv+usLrR5ksthZewJfW5qr3BP4AwTe5cGu99vI3wAv0WxIBtYkLhzY5yli5ldZUFWr5MOwU3mlWZCG2gAttRUJxVPNRI40uu7lZO/Bg/vPXZlEaAU2vn2D3t4mA6+IEWjhsHOiA4fpzWxXyk6DQ5BQ135MLBTHWPm7ODNDef9QLNGxANDI2zmw6hughGTx7/pMqK+YkX8xXR+Er2YVYTu7GwdtSqPMhbLXEbei51qtvaXFK9yC8wx93Ax3TrZbIC18jpVYRyAfTE1hbF0G2rdQQ==
1677,钱德明林,男,440111198608150350,ceYKPSf4,utR01}z>,VABh6vimcdUFb+mWEmUHPL2CbQmskRSpMpcsV1sQEnwOpvhkC4ljK2OIvAHWm0U9WFH2FfP15z7HOIskpVX33+VjuM/uNW0yqOn8FrSUOBq+hnGhhXAU6lycOlcrZw612uZm0QqKlLCu1eTKLazUgmlCksIMwaRYkgFGRgnblZwrsCO2PadmkEyyvBLfTxixz8ETkVEvcD0a6o4ulpx9iR/G+xnrv1UIzyVW6VddxXGV69KQJ4XmDyxxzBHS5/10DHEjytX0W3Wwg8+zIE4L0taCgQga18nHeElDeOF8EfqEU5MvlhZUrG+WFeGPBiOPGq6dQcaa9PxuKMMfvTBfeg==
1678,林嘉祥宁,男,440111197412079279,rrV4HVpkB3,@aR<?8()>OOp,iY6WBaMHZR0GobyBJiN03nUbFV1uzJhR+yjMJKxgynTnIcvsrdheGolIjdg45KXUupx4gxAh5TOj6eL8xbw9iq7B7DpSTIUy/CMn7R7wUPJ64JoRsA6La46mCeNQtrOEK2Ix1I1rNzLX15JEpqyeOOubaG1xyFUrWtJC2lTraE173ziH1kXU7N1oBWg1vnx9m9jCg2rTrz3RIFKvcje8pdKMRLUGSmhzzEEEHtGd+nXCyihScQ58D9qror/afDZds4mDBs0fSvphxbGjfxgTKOm+QzW5U85iuk/etml8vPd+L4Z7fhQpmmb84iS72k/touQxKnDhk8f1svwV9CdEKA==
1679,郭明哲亮,男,440111200502287738,BdKthxM2uEwL,s~)oX.)B,iDTDQNtu46JHoVS3/S5ACgARnU6XowF1KYUZ53DYoY4vq+zTCFOJMzGLx2/nNjlAFZ03O2r6Jhbcm0DR2G7h1cVCz7U9baMkT6+G7CBQJqhR/D5ZL49BdchSUzM/n9YTyY+yG/sT+CXvty7PsuVhA/SL4c3o8fvBjUOAYoFShhnsYFpHqVmNa9z4wcTEpKGQsj3B9IIZl+hNrrNWcxtYlnmpT+KkBh62knQ9/VmUCc1WIce9qOCn16PtKiH109VKgBPEQcUt5ILoBPllR+81pI5DDfZ0MfjwPpC1defcigQovMh8U3vQkhe08aA9I1iwSiOjd/D1ZdSCA+XCAeISvA==
1680,钱咏娟,女,440111198903309723,tUu9WK2Aydt,/EJ:pQ0>_,1jUo2nQqjYaw7zggGVCkxIQFzVSlqDE8Pwjla6c/Z+ISq3YW8j4DKmKvoBnCkQH0rOpc/+HXYxq9QEmp2BeCVKTl5YWL3E/kJ0A41cp/6COxxRhnpXNoJgt7yDSHA1ii9yerD62Jde0yCsei5W/NfwywjAzBkVK8ogGs2i2bEGJ0B9zJA0LCcvK/0nT0o+MPwOxsiQbsmZTXMHwkM2DZEHz7GuV0/mkr7I/SH0nEmQen3rJ461Nq2lCaY+cHH2lDMfr2AEpZMmv52bdT8fv4qcgDKQNuThb9lBnkavmhkkycQ4t/hSThLnh1S+RxlCJ+xSgyWLF3obGkJdus8G2LsA==
1681,岳彪,男,440111199111170318,sJqFrSyFAMu,J)UT|Z>s,KssoZdjnbpFwmovYpYMcyxHWRBsLIOhJEi0VI/+VfdUxaRjGVbEYRRgadGCotMrpMtpQKUAvu1XGGXrBswLRGFbNvYXe0WcPlYUu73LAWPwdzM+vRf0knmTvf25kcrAf//bRzT+Ff2fyZx7inyZmFF8Dqo/wuyKT7nk78q/Uy9nnnva2c39EBU1Nmy60W//NGpFIooPD+L5GqTWuagZiADy5qB6q3KGjrlbA3rtxoROtJcTD6IxzZo78ssraVFsjgsKjNr9zJu01YRvLOOp+1MsQIofPo/wpdztqLuQ499EO8JLbE2onTdufwzWJt6QlzKBZjqtdOn0x+HJPDMLPfg==
1682,岳浩楠,男,440111198501251856,O8CRf2nVFEDW,3SB0cwj24M8)d,Fw9pLeBR6u8ZS7Gve39e4I2/TwvgDZiVhE41e+7rEih8I0iOhwrLjjaaxzldoQTJDBVGb7aazRrE4TRyZtA1DqUI2NbjNSLFfC6gGQwxNTnPy+L67ytyDYsjgghtCKpr/VGApsd6EfIBBTSsv+q9SQnhU+OYCESuDWQkJxRp5TuVddz3J+P98rcWwf8/yhy73LVc7IdT5V/s2xUvBPKZ4GrZJQoue1lQROQTPU8EJ7iacUbu9cXWllgCigxYJ4qHK9EDtCBT+Vuz9N1KrpzpLfcO0zqD1Qzbbh5plgq5ozC61frHC857ZkJl+4wxPN1pQZkpWxfk2gnARkyM4OEUTQ==
1683,金安娜,女,440111199811026667,Om0ofUadE9,c~GiwB4mP8_,yvye/RdjPybeQ8fFw+M+uvlmOAfKDBa/d+OAowVfReorQNEwjSIdaNuQe7fKFeCOJ8bTlYXM5pmTBECvjrqTD+gXnxu9VXhVcL94A1YDYCiGKJ6YCxel4Qj/6KbFY1gKlMScM/Kv+14mHWAL18r0N66W6HWwrSMOKNiEwhPknf2C4tXFVBSGmL8dmXA9ke2KptEgcL8eSjerQ0OAz41PTS6IjTRFfcHIe1X5IqJs+w6X2WSFp+Y4VziQJjGWO3KJXNh7dP4+qsATW5YfYKE6Eu3XhyCaxnrSjNwgQuti3HPhNjrMFMlGOOKf6wkDsZaH84qSrDnH9aqHWNUX+6AolA==
1684,魏芷涵,女,440111200307015382,mesQTy89VX,OA~dblRpD}jgK0^_,QtW4KzwKIlndY1SigLTYXqDElPkD29WkjaAeLVMkgf0GPaAx9dOnghuXn7o6z8Ptvr8kOVSDGUiXS7r93mWgBJ/JMppKBv/OEVLU1dQ88bGJzQQTEmZoPPuM2ZP02nQlP83VlLeMnMycETFFL9Q7gL0dRpl+QNpVhkkRV2DeYR9oK8h0Rcbi5PK73x+EpggVx1YvGNNuLhpdznDsL0E9qIUP3t1ljk8PIaXn33YvaZpW86+LL/lP4de7pAbn0rnN65Btvw3pvTM3SHnf/Zo1CL1w4hKrx8WZTALj6obSgrbjyvJfntHHO/UzGr5qXzZm4ZHtPfRp3IDGB7Gfz5UAtA==
1685,冯如意,女,440111197806037768,IFHUdLXOjg,$G!Y^NJ}A:X9,JkqqkzDdM5umGRkOo7lcR+dyAS+R+kQBAHQDzGabmcvD4Wh3EMmgnGBl3EbA8GCTkUPsP8zi2gZ9AKLG7D5iWLy9Lf9/GAJrEDcbLKZkyuyMGfUrZjloptZdw7NY6YenKmbc1ITas98BqZQqaKWwAYQMVG0UMssZo/7wRHpgU/5CWn7aWq/s4MHuvARVUAlww4CyCRFe1rmZWkfEbrdQtaEh9CC366KmSK1Z3PxiwQYLPyfzyhGsDB05wHfeDZrafdx5dqVEjjpZn+0By+XBWfZN/v9EYSEAfnc4u6ld1CPQIXm/uWdTwJfAWg0f0a/fGjEQw3cm7MhvPQeiVikM9w==
